"Gene","PC1","PC2"
"LOC128115827",0.00641300310715995,0.0145222200682917
"Syngr1",-0.0121024668091797,0.0145209193357636
"Phb1",-0.000533986452448765,-0.014512776845773
"LOC128115162",0.000673723898485587,-0.0145097543808444
"Htr3a",0.00129031734736046,0.014507443591729
"LOC128101229",-0.00696197597539127,0.0145035250813464
"Adcy4",0.00830843146804409,-0.0144996394407667
"LOC128103262",-0.0072570083138349,0.0144907746242385
"LOC128105311",0.011204683515412,0.0144883455852978
"LOC128119811",-0.00533875731635447,0.0144729937399059
"Tspan1",0.000605457031614236,-0.0144641250076028
"Rem2",-0.00100638708084488,0.0144604602046621
"Flcn",8.88585719940728e-05,0.0144524391277138
"LOC128110548",0.00991634477520777,0.0144516507851419
"Brd9",-0.00174070778398183,-0.0144514181176566
"Txndc12",-0.00127051406487773,0.0144512554671497
"LOC128115108",0.000279593858805244,-0.0144467128995414
"Zic5",0.0063421080687033,0.0144465828832506
"Gna15",-0.00101542405179443,0.01444303383116
"LOC128106775",-0.00451102403585934,0.0144416488718053
"Mpdu1",-0.0115672064735312,0.0144375317056832
"Gabarapl1",-0.0093818401991276,-0.0144363715454103
"Kcnb2",0.00412161489298986,0.0144224508045485
"Stoml1",-0.00144421869188059,-0.0144160897208474
"Tcf25",0.0123492188162764,-0.0144150893386924
"Plac8",-0.00844646111103332,0.0144086966109005
"LOC128102764",0.0103371093530874,0.0144065525899647
"Dmwd",0.00509800474346668,-0.014394535241365
"Bcas2",-0.00442255985306279,-0.0143904056677607
"Myo6",0.00344586221707059,-0.0143887503752531
"Ndufa8",0.00505915537496424,-0.0143848299674935
"Shisal2a",-0.00611520442419552,0.0143713368648664
"Pttg1ip2",-0.00259013158351797,-0.0143705557041894
"Habp2",-0.0031768465745669,-0.0143657368993405
"LOC128120285",0.0134881670754052,0.0143553114402935
"Ankrd39",-8.62199319688951e-05,0.0143531588770539
"Pomt2",0.00584965219999583,-0.0143490734401943
"LOC128124437",-0.00941396756255174,0.0143469200110731
"LOC128111659",0.00306651080058821,0.0143445049087203
"Col22a1",-0.00830225056326371,0.0143426773832723
"Rgs7",0.00782972636893132,-0.0143406999205358
"LOC128123505",-0.0036737331339798,0.0143397875270861
"Polr3c",0.000833548165858842,-0.0143386283954411
