"Gene","Instability_Score"
"NRGN",0.234328861426659
"SNAI1",0.234261195659846
"MIR4324",0.234109981073806
"SMIM6",0.233408163494242
"RP11-404P21.9",0.233353837169495
"COL11A1",0.232438801791062
"RP11-138I1.3",0.232364025212626
"ASNS",0.232068711064875
"RNU6-563P",0.231497291419966
"FTLP14",0.231494877777801
"PDZK1IP1",0.231204117468607
"RP5-890O3.9",0.231048831250293
"RNU6-130P",0.231033671845709
"RP11-521B24.5",0.230481221659713
"SNORA54",0.230055421846379
"RPS4Y1",0.230007477890734
"COX17P1",0.229953332154726
"RNA5SP37",0.229877259361958
"MIR212",0.229841784418924
"RP11-677M14.5",0.229775996452982
"RNU6-1061P",0.229452892954754
"CTC-548K16.1",0.229362172431237
"RNU6-6P",0.22919533391183
"MIR3687-2",0.228697709536512
"TM7SF2",0.22839292558106
"MIR7856",0.227954577983597
"HS3ST6",0.227944667105205
"RP11-173P15.9",0.227923587438499
"GS1-393G12.14",0.226810358563015
"CDH17",0.226478639192553
"LINC00322",0.225496920863178
"RP11-288E14.2",0.22523096504917
"MIR4653",0.224337818052721
"BARX1",0.224278864336772
"CTB-191K22.6",0.223878464030459
"FST",0.22357826736004
"RNA5SP187",0.223197479032731
"RPS11P5",0.222692566734021
"MIR3192",0.222671666875243
"RP13-582O9.7",0.222387879923348
"CTC-507E2.2",0.222304866204963
"RNU6-583P",0.222229582237863
"RNVU1-4",0.221845214152418
"RP11-64B16.2",0.221767429430422
"CTB-79E8.3",0.221631513226945
"MIR574",0.22148261587826
"SNORA55",0.221308893033107
"VAMP8",0.221252099823566
"TGFB2-AS1",0.220413189631399
"RP13-20L14.6",0.220268272112922
"SNORA2B",0.219520301810166
"RP11-767C1.2",0.218669571397694
"RP11-848P1.5",0.218664162078598
"CPN1",0.218456083347579
"CDH16",0.218231265195214
"AC018738.2",0.217866084747081
"SLC29A4",0.217761289700555
"RP11-245P10.4",0.217477417212003
"RP11-480I12.2",0.217431883363685
"INSIG1",0.217394185947404
"CTD-2545G14.4",0.217345904688176
"RP11-138J23.1",0.21649953414554
"RP11-545D22.1",0.216098123348927
"RNVU1-15",0.216085778131622
"snoU2_19",0.215827232772522
"RNU6-45P",0.215579360167514
"RNU6-944P",0.215579360167514
"RNU6-137P",0.214780361403214
"PCSK9",0.214726799349754
"RNU6-564P",0.214403013595233
"TAF9P3",0.213568988794204
"AL355480.1",0.213331649119348
"CTD-2358C21.5",0.212753518891762
"GRAMD4",0.212680208140919
"RNU6-1262P",0.21237526120748
"MIR3944",0.212310897596285
"DNAJC22",0.212184667532248
"MIR3942",0.211492038507077
"AC010761.13",0.210786358901627
"AP001271.3",0.210729934745396
"AC021106.1",0.21069282037159
"C3",0.210410308285642
"IGFBP7",0.210329701045106
