"Gene","PC1","PC2"
"SLTM",0.00511098172942533,0.0150247333789365
"DDX24",0.00254395543819699,0.0150153362396397
"YBX3",0.000339188085030154,0.0150145548642888
"NUP58",0.00131279728110086,0.0150141522925095
"OTUD6B",-0.0019827597922076,0.0150069541394154
"PLXNB1",-0.00499736963790075,-0.0149920986687459
"CUL4A",1.52195809102893e-06,0.014990026899463
"HNRNPD",-0.00045139780045528,0.0149775529338909
"ADGRG5",-0.00238439956538248,-0.014974274720311
"GRWD1",0.00265875689808897,0.0149736836270576
"FCHSD1",0.00435641801572991,-0.0149736634043029
"AGPAT5",-0.00686978279033442,0.0149710752810857
"ZNF618",-0.00539921691816077,-0.0149689990714444
"HOXA-AS2",-0.00101099231237467,-0.0149617444150825
"ATG7",-0.00140079194995869,0.0149599300585021
"IL13RA2",-0.000366257843728408,0.0149541593036027
"TCEB1",0.00200255187966466,0.0149483876798519
"CCT5",-0.00206269971034415,0.0149401707124693
"TIMM44",0.00270880258773856,0.0149348189914273
"GXYLT1",-0.00101568857407934,0.0149189045616184
"UBE2N",0.0014746474990178,0.014902271896947
"NOC2L",-0.00590073377981121,0.0148984329907717
"C2orf82",0.00317510222113573,-0.0148970510457882
"MRPS2",-0.00683790397287074,0.0148920028248732
"ZNF146",-0.00538155755615595,0.0148918998903234
"PPIF",0.00341789486840661,0.0148777512156525
"FAM131B",-0.00449262239271841,-0.0148775832118713
"ELAC2",0.00258583369861805,0.0148527855606532
"DENR",-0.00214542319048637,0.0148382553360827
"POLR1B",-0.00364969924183509,0.0148360736847483
"CCDC86",0.00531452838985314,0.0148317331954197
"PGAM5",-0.000371920481243028,0.0148296613380105
"NEIL3",0.00433026092377891,0.0148151347889433
"PSMD1",0.00489249522368773,0.0148128158146219
"RABEPK",0.00663437823753949,0.0148093256299302
"NARS",0.00444095165658856,0.0147945172809152
"MCU",-0.00416234703656411,-0.0147665645871357
"TARS",0.00280777000805628,0.0147638595115162
"RPS12",-0.0023965305266708,0.0147636432579484
"NUP205",-0.00387525992548514,0.0147573894950361
"THOP1",0.00228585940603505,0.0147493249653671
"ULK2",0.00319055601314136,-0.0147480310698498
"AURKA",-0.000299674625902003,0.0147464416676538
"PSMD2",0.00614871923493277,0.0147377826846015
"DDX1",-0.000404418614930738,0.0147360000867132
"NEMP1",-0.00467570236020829,0.0147341252870764
"TEX10",0.00482843012069291,0.0147318175231934
"RNASEH1-AS1",-0.000735775587616501,0.0147265901629423
"RPAP3",-0.00349554487243039,0.0147254717551762
"PSMG1",0.00271584175865745,0.0147247889791098
"SMCHD1",0.00212875671057153,0.0147030365882248
"GRPEL1",-0.00590357788669726,0.0147011160826613
"ZBED5",-0.000602173006325579,-0.014696053703181
"YIPF3",-0.0055764914725725,-0.0146766720167505
"MRPL15",0.00210534612795014,0.0146727522538261
"TAF5L",0.0013852121038881,0.0146687557963183
"COL4A4",0.00405545330612541,-0.0146683822074471
"TMEM94",-0.00593085098505754,-0.0146682808381078
"DESI2",0.00183337117418632,0.0146651045293477
"MLKL",0.00374699189468899,0.0146633518922681
"CCT7",-0.00100074188002581,0.0146626299293555
"NUP50",0.00272525048487688,0.0146565406661587
"GSTO1",0.00333987877920752,0.0146558417935955
"USP10",-0.00219004114299222,0.0146428160990827
"CDC27",0.000459994410791107,0.0146423197534247
"VRK1",0.00522774671811298,0.0146331356369255
"JMJD6",-0.00742995380007724,0.0146273220984543
"PLD2",0.000819546311619216,-0.0146240899678523
"COA6",-0.00527757941604355,0.0146191768530757
"ASUN",-0.00619646991980525,0.0146179508651589
"CXCL16",0.00325386287016294,-0.0146142219694205
"MAP4K5",0.00257138233252234,0.0146086832015679
"GUSB",-0.000857903756497228,-0.0146054621779173
"CDC25A",0.00569321443367185,0.0146026758534885
"IPO5",-0.00731440706404813,0.0146023359696499
"PSMC2",0.0023024192329494,0.0145976731642559
"HDAC5",-0.00540130690320579,-0.0145952093498216
"SRPK1",-0.00379201432387927,0.0145932538825293
"TTLL6",-0.0049706195128858,-0.0145874405102129
"MICB",0.00010572703347228,0.0145801364434723
"ARPIN",-0.00607126692513177,-0.0145763253024708
"NFKBIB",0.00253250270613806,0.0145661143110739
